id,name,value,category
0,老实憨厚的子衿,2078,28
2,贝拉kira,8651,3
4,薇Steria,2299,6
6,向晚大魔王,9614,3
7,乃琳Queen,9190,3
8,烤鱼子Official,2530,7
10,呜米,10064,1
12,舒三妈Susam,2345,4
14,张恩恩NNN,2995,4
15,尤格Yog,3219,4
16,宣小纸不怕火,2798,13
18,小可学妹,5838,1
20,乙女音Official,2190,2
23,鈴宮鈴,3295,2
24,中国BOY超级大猩猩,5280,5
21,古守血遊official,3942,2
27,罗伊_Roi,3210,4
11,咩栗,11803,1
28,文韬Stefan,14896,14
31,魔狼咪莉娅,3144,2
32,夢乃栞Yumeno_Shiori,2520,2
26,椎名菜羽Official,4228,2
33,Yommyko,2809,7
35,帅比笙歌超可爱OvO,4944,1
36,七海Nana7mi,8880,3
39,黄子弘凡-Lars,4671,14
40,红晓音Akane,3090,1
42,奈奈莉娅Channel,2756,1
44,泠鸢yousa,3300,2
46,九重紫Official,3699,2
47,秋凛子Rinco,2730,1
49,绯赤艾莉欧_NHOTBOT,2070,2
50,勾檀Mayumi,2034,6
29,蒲熠星,18167,14
51,蕾蕾大表哥,2835,18
53,夏诺雅_shanoa,3792,2
54,花园Serena,3060,2
55,dodo_Official,3038,19
17,卡缇娅也不知道鸭,4046,1
57,LGDPYL116,3329,15
59,花花Haya,7543,9
61,小缘,5561,8
95,恬豆发芽了,3276,13
62,飞天狙想要努力变胖,11234,11
64,艾露露Ailurus,3030,1
66,星弥Hoshimi,2400,6
67,温柔的安酱,2189,23
41,东爱璃Lovely,5925,1
48,星汐Seki,6150,1
70,星宮汐Official,3484,2
71,老番茄,10800,5
72,黎歌Neeko,3019,1
73,杜松子_Gin,2542,1
75,冰糖IO,2117,1
76,蕾尔娜Leona,4096,1
78,桃几OvO,2689,6
30,花少北丶,24930,5
25,某幻君,25020,5
77,路希维德Wiede,4246,1
79,棉花大哥哥,5187,16
81,麻尤米mayumi,2167,32
83,花园花玲,5070,8
58,赵俊日,3944,15
86,多多poi丶,6535,8
89,巴老师的小号,2532,1
63,甜药Jamren,13684,11
91,白神遥Haruka,7110,1
93,龙哥哥今天又鸽了,7334,21
3,嘉然今天吃什么,19908,3
97,AG超玩会王者荣耀一诺,8087,12
99,月隐空夜,4140,9
101,物述有栖Official,3570,2
102,杜铂雷Dobre,2084,4
87,希月萌奈,5370,1
94,血狼破军,7546,21
103,shourei小N,7721,8
104,LexBurner,6570,5
69,美月もも,8723,2
5,内德维德,7438,6
84,宴宁ccccc,7968,8
107,妙妙子Official,2356,18
108,穆小泠Official,2830,1
105,解说Mage,3873,15
109,花丸晴琉Official,2340,2
110,虚拟小萨,3833,4
111,木糖纯Official,2040,9
112,有棵里里,2016,1
43,雪狐桑,6143,1
113,夏川玥玥Official,2375,1
114,祖娅纳惜,2670,34
115,艾尔莎_Channel,3460,9
116,小绝,3041,27
118,草莓猫Taffy,4162,31
119,飙黑车的司机,7310,10
120,猫芒ベル_Official,2520,2
121,恋乃夜舞_propro,3413,2
122,莞儿睡不醒,3254,3
56,露米Lumi_Official,4684,6
90,雪绘Yukie,3870,1
38,雫るる_Official,10470,2
123,凛-阿格里亚斯,2172,35
85,早稻叽,7462,1
82,明前奶绿,7203,3
126,早凉,2280,1
65,小柔Channel,6287,1
127,黑泽诺亚NOIR,2987,6
124,塔克Tako,5430,4
125,KB呆又呆,14100,5
60,瓶子君152,16560,20
106,神楽Mea_NHOTBOT,4590,2
129,小铃久绘Official,2185,1
131,v猫诺v,2775,36
133,成都AG超玩会丶久诚,4303,12
134,奈姬niki,3720,1
135,Fulgur-Official,6838,17
128,泛式,17580,20
137,黑桐谷歌,4170,22
138,AIChannel中国绊爱,2820,13
139,兰音Reine,3914,1
140,茉吱Mojuko,3590,2
141,荔枝Kouun,5498,11
96,星瞳_Official,7786,3
88,神奇陆夫人,13396,7
92,永雏塔菲,13699,3
132,依然小智,3228,9
143,卡特亚,5040,16
144,陆鳐LuLu,2799,1
74,扇宝,7555,1
37,HiiroVTuber,14340,2
145,还有醒着的么,4199,1
146,sh7adow,3960,23
147,OldBa1,11186,10
136,Vox_EN_Official,8977,17
130,梦音茶糯,6908,1
9,少年Pi,12570,7
19,阿梓从小就很可爱,24960,3
153,许琪i,3522,37
149,折原露露,4617,1
152,冥冥meichan,4558,1
154,泰蕾莎Channel,4110,38
22,眞白花音_Official,17550,2
52,Asaki大人,20340,25
155,啵啵小狗341,4928,3
156,清歌清歌-,2270,39
157,痒局长,3000,22
148,老骚豆腐,14430,10
98,AG超玩会王者荣耀梦泪,18390,12
158,守护茶茶,5039,24
159,猫神辣椒酱,5040,24
80,大祥哥来了,14460,16
151,LGD_Ame,7465,19
160,ywwuyi,2255,40
161,战术级子轩,4705,41
163,夏夏大魔王_Axx,3140,42
165,小深深儿,3295,44
34,C酱です,28665,7
167,-纯黑-,4650,46
117,EdmundDZhang,30270,7
168,泪腺战士,9035,47
150,库库_sama,11993,11
13,阿萨Aza,18930,4
68,凉哈皮,20030,10
169,不稳定发电机,3240,30
45,hanser,23250,8
170,冯提莫,2490,48
173,西安WE丶Best,3638,12
174,自由魂儿儿儿,6729,50
162,两仪滚,13808,25
172,雷雨Lyy,10470,26
176,棋手战鹰,2549,51
179,丧妹有点跳,2540,54
181,飞社长,3060,56
142,逍遥散人,39570,5
182,CSGO久菜合子,7530,57
166,狗狗狗雨,7377,45
177,烛灵儿Hikari,5213,52
184,Kiki向前冲呀,2189,59
185,火龙果说电影,4825,60
175,小霖QL,13680,26
186,你的影月月,5193,61
171,菠萝赛东°,6033,49
178,不知原深,7131,53
164,longdd黄翔,8490,43
183,CSGO--德云两鬼,13168,58
180,__小黄瓜__,5340,55
1,老实憨厚的笑笑,50010,29
100,魔法Zc目录,51360,33
