uname,mid,roomid,follower,guardNum,coefficent,gid
嘉然今天吃什么,672328094,22637261,1702739.0,27103,27222.647266879092,
老实憨厚的笑笑,8739477,545068,,2604,,241.0
冥冥meichan,45502,22650610,555398.0,2262,2310.6197120300603,
蒋芸Mirai,114866,952192,,2225,,75.0
阿萨Aza,480680646,21696950,1242699.0,2107,2206.6792781349795,
阿梓从小就很可爱,7706705,80397,740805.0,1778,1844.8822379250369,
LexBurner,777536,11365,,1409,,75.0
LGD_Ame,2049801772,25836285,,1234,,75.0
美月もも,2073012767,23698286,169656.0,1182,1155.4328838552983,
折原露露,631070414,22389206,439230.0,1174,1207.7421551790474,
爱摸鱼的坑先生,32726554,905816,,1114,,75.0
露米Lumi_Official,2000609327,25977291,57364.0,1094,998.6847179776332,
雪狐桑,477792,24393,449669.0,1068,1103.2313300530604,
冯提莫,436473455,21721813,,981,,75.0
罗伊_Roi,480745939,21696953,545845.0,978,1025.5197270260276,
希月萌奈,591892279,22889484,204783.0,933,918.3633706004039,
蒲熠星,226102317,21281833,,933,,75.0
C酱です,67141,47867,1365626.0,908,1013.6596292362824,
黎歌Neeko,671538942,22571722,133283.0,870,828.1345798539701,
小柔Channel,1734978373,22696954,272213.0,838,841.4091640555921,
longdd黄翔,1388514638,23982773,,829,,75.0
逍遥散人,168598,1017,,760,,75.0
EdmundDZhang,433351,5050,,731,,75.0
啵啵小狗341,33605910,2450440,168053.0,673,645.8309990178241,
雪绘Yukie,56748733,21756924,185950.0,663,642.2469784989939,
眞白花音_Official,401480763,21402309,1021922.0,660,747.2782090216708,
神奇陆夫人,419220,1016,,612,,75.0
乃琳Queen,672342685,22625027,674810.0,610,670.9666208507397,
麻尤米mayumi,1265605287,25061813,46330.0,603,494.1407516312379,
文韬Stefan,412504829,21996307,,596,,75.0
Asaki大人,194484313,6154037,1002968.0,578,664.091261880182,
KB呆又呆,389088,1010,,573,,75.0
贝拉kira,672353429,22632424,570310.0,567,617.2995012928218,
七海Nana7mi,434334701,21452505,974125.0,565,649.2412973666478,
星瞳_Official,401315430,22886883,428881.0,556,588.2304644277156,
纳豆nado,620666,159586,,543,,75.0
秋凛子Rinco,479633069,21677969,114197.0,541,489.33613141033584,
向晚大魔王,672346917,22625025,581618.0,519,570.5442843527235,
少年Pi,13046,92613,,506,,75.0
菠萝赛东°,197098,37527,,494,,75.0
早稻叽,1950658,41682,960260.0,486,569.332423430887,
烛灵儿Hikari,399815233,21728563,349559.0,477,496.2647123124841,
AIChannel中国绊爱,484322035,21712406,1014104.0,477,563.7913157933094,
塔克Tako,9066351,21737386,367351.0,476,498.41223284368584,
某幻君,1577804,271744,,472,,75.0
棉花大哥哥,1871001,34348,,452,,241.0
由乃の小仓鼠,14633696,8781662,,443,,76.0
小缘,5055,263605,,441,,75.0
呜米,617459493,22384516,695941.0,435,497.9214784995743,
花臼usu,9983449,8707460,15936.0,428,251.47970112086568,
东爱璃Lovely,3821157,21692711,179059.0,420,396.85283854127874,
棋手战鹰,2051617240,23141761,,411,,76.0
魔法Zc目录,13164144,3044248,,407,,75.0
雫るる_Official,387636363,21013446,476481.0,392,430.9032102644519,
量子少年-祥太,1461176910,23965761,44615.0,387,275.7493306347915,
白神遥Haruka,477332594,21652717,766275.0,381,450.02539126089823,
Vox_EN_Official,1775966996,24731541,1339858.0,371,475.4519040367095,
Eli田瀚博,258959750,7497026,,369,,76.0
黄子弘凡-Lars,544142239,23810121,,368,,76.0
巴老师的小号,1588646945,25206807,88954.0,365,297.498453517966,
永雏塔菲,1265680561,22603245,652864.0,364,422.87046902047496,
仙女味儿的青青,2127636640,23159873,,362,,76.0
徐珺大哥,34579852,1319379,,359,,76.0
梦音茶糯,140378,958617,563617.0,359,408.55105606136544,
花少北丶,2206456,81711,,355,,75.0
小深深儿,10673533,2807295,,348,,75.0
古守血遊official,2299184,8725120,229854.0,344,336.6856548769165,
五月织姬ctsu,441952268,22014628,168603.0,341,314.03815428030566,
银狼爱狂三,34690710,5433500,,338,,76.0
自由魂儿儿儿,1282271864,23459804,257976.0,329,329.0034244227518,
夏夏大魔王_Axx,233592835,6750632,,328,,75.0
奈姬niki,3035105,3415150,513377.0,328,371.6317483622695,
小铃久绘Official,1875094289,22754458,171324.0,323,297.0531668251956,
早凉,518817,5169315,176822.0,321,297.05578745984417,
樱桃老師,1124181134,23710947,,319,,76.0
hanser,11073,48743,3425561.0,317,480.9655864735637,
HiiroVTuber,508963009,21919321,1116997.0,316,408.91818847069726,
Uzi,42619059,25059330,,314,,75.0
好喝的白开水丶,1943211712,22844133,,311,,76.0
新生代持剑少年,1641367203,24745250,,310,,76.0
宣小纸不怕火,3461582034045213,26276187,20003.0,309,146.89062011761177,
虞莫MOMO,1811071010,25512485,76151.0,308,230.64601927953254,
河黎有片小叶子,3461578781362279,26213288,24093.0,307,156.68549776230668,
花花Haya,269415357,7688602,422691.0,303,334.30875043966694,
猫神辣椒酱,20163112,910819,,302,,76.0
战术级子轩,3519797,13355,,301,,76.0
明前奶绿,2132180406,25034104,193213.0,301,282.6761740302479,
说说Crystal,283886865,9234980,113226.0,299,246.7947457626433,
HeWu狐,1051654586,23053924,23089.0,299,145.9868749720448,
AG超玩会王者荣耀梦泪,108569350,4245963,,296,,76.0
尼奈nine_Official,163653,162180,455715.0,295,331.07809142270526,
露早GOGO,1669777785,25512443,113122.0,292,239.7364850272802,
艾尔莎_Channel,1521415,81004,166570.0,290,262.2690363578713,
解说Mage,472497932,22508985,,288,,76.0
咩栗,745493,8792912,847695.0,285,360.4275098288656,
莉法sama,13552255,11790589,,282,,76.0
内德维德,90873,5424,114529.0,280,228.5201840740699,
瓶子君152,730732,42062,,280,,75.0
牛野露哞_usrm,1160514215,26133110,34115.0,278,149.73702128241973,
井上鸢御,109834414,24492364,,275,,76.0
扇宝,698438232,22673512,280759.0,275,280.36897230348677,
Baolan,2036047839,24048374,,271,,76.0
切茜娅CheIsea,632960,1944820,242888.0,269,265.1825520598618,
柠檬派奇幻漂流,20892823,7756231,,267,,76.0
两仪滚,183430,5096,,267,,75.0
不知原深,1184238527,26526557,158275.0,266,235.03046196314153,
峰哥亡命天涯,35847683,22230707,,263,,76.0
泛式,63231,33989,,261,,75.0
sh7adow,321370945,15013765,,259,,76.0
鬼叔黍,38568774,23679394,,256,,76.0
小绝,275981,5367,,254,,75.0
咕咕噜噜oo,453141751,23564688,,253,,76.0
鱼鹅来了,1667514736,22722289,,250,,76.0
金灿灿T0,81345676,23808183,,249,,76.0
陆鳐LuLu,1856528671,23256987,1076500.0,248,338.57690277286747,
桃几OvO,1104048496,22642754,51088.0,248,145.33873160811925,
喵熊°,30698151,234024,,247,,76.0
纱依shayi,3461576189282324,26168663,20810.0,244,84.39817748917892,
Key725,11332884,904823,,244,,75.0
夏亚的腿毛,957387,554737,,243,,76.0
夏川玥玥Official,1802011210,22758221,335523.0,241,257.66646292373093,
初冬ovo,1681042090,23716652,,241,,76.0
御酱Asahi,647164,816238,,239,,76.0
Kiki向前冲呀,85729717,21423462,,237,,76.0
瑞娅_Rhea,690608698,23260993,53175.0,233,132.877186780339,
猫咪遥控,432611412,25852447,,233,,76.0
o浪味小仙o,630455196,23167843,,232,,76.0
-_蓝天_-,141596701,26307043,,232,,76.0
逗板菌,124621923,4464887,,231,,76.0
你是Nana的小可爱吗,32909772,3580061,,231,,76.0
泠鸢yousa,282994,47377,3287573.0,231,392.3588541785414,
许琪i,15404163,1181156,,229,,75.0
雷雨Lyy,17603188,8864977,,226,,75.0
一个乌龟酱,84674730,4795936,,224,,76.0
兰音Reine,698029620,22696653,1254769.0,224,324.2920939611995,
露露自信一点,21353574,11954219,,220,,76.0
甜王Linrone,47797278,14019438,,220,,76.0
椎名菜羽Official,623441612,22347054,202199.0,220,204.55828437332843,
星汐Seki,51030552,1603600,134369.0,220,178.64907462965766,
__07_,4436681,3610289,,219,,76.0
双尾彗星,48330353,1496449,242895.0,218,214.18437921313807,
_糖果果Candy_,26261068,295476,,218,,76.0
依然小智,137952,5085,,215,,76.0
大祥哥来了,2920960,732602,,215,,75.0
春去丶残秋,4801245,66251,,214,,76.0
老骚豆腐,4578433,763679,,214,,75.0
九重紫Official,225347042,9162799,314016.0,214,226.46643048499436,
Mo_F丶莫风,652281965,24492935,,211,,76.0
shourei小N,249118,363889,1563845.0,210,324.2525229260882,
Leah莉娅又迟到啦,31922771,12384934,,210,,76.0
正直少年李发卡,49922172,2444178,,209,,76.0
黎沈King,240916,813364,,208,,76.0
小懂饰品的Skye,386549315,26309253,,208,,76.0
荔枝Kouun,345564775,22734699,,206,,76.0
钉宫妮妮Ninico,8881297,55634,385401.0,202,227.45331252081394,
炭烧奶蛋,886992,21504767,,201,,76.0
小可学妹,14387072,6374209,428651.0,201,233.1964552004223,
慕龙星,328376852,22921047,,200,,76.0
小妹睡不醒,351686170,12401854,,200,,76.0
人好嘴甜凯尔希,1683678,320224,,199,,76.0
赵俊日,66556492,22174141,,199,,76.0
余多多Dudu,2131609593,22820500,,198,,76.0
__小黄瓜__,24047117,1621877,,198,,76.0
飙黑车的司机,14781725,3066386,,197,,76.0
成都AG超玩会丶久诚,578768928,23919384,,195,,75.0
可爱的露喵,4751210,1163484,,195,,76.0
初一逆羽,1399481551,24347206,,195,,76.0
月隐空夜,49631892,21292831,830517.0,194,268.1295531485939,
魔王大人帅帅帅ii,93876791,4241803,,192,,75.0
张恩恩NNN,36416972,860677,,191,,76.0
你的璐璐吖ovo,3461576013121729,26167954,,190,,76.0
哈娜hanna,630077416,22625568,,190,,76.0
黑泽诺亚NOIR,922573,251015,528640.0,190,235.4891910220556,
艾露露Ailurus,1501380958,22746343,246199.0,189,186.0409703245008,
杜铂雷Dobre,1294678093,25166222,125979.0,187,141.56139004087117,
老实憨厚的子衿,271815944,23718393,,186,,75.0
萨摩耶哟,11013713,23880902,,186,,76.0
血狼破军,267766441,8432038,,186,,76.0
兔眠可可,1096034982,24978909,62874.0,186,96.49949937137,
Mia米娅-,780791,5561470,29298.0,186,48.08640541056798,
织月黛黛,28278764,23578004,166311.0,185,157.17037885976504,
CSGO--德云两鬼,384942089,22889518,,184,,75.0
绯赤艾莉欧_NHOTBOT,407106379,21396545,451065.0,182,217.42785082581906,
是咸鱼菌鸭,379181177,22089255,,181,,76.0
Fulgur-Official,1281805827,25734481,228887.0,180,172.41836727539066,
我是佩奇ovo,383487730,25481321,,179,,76.0
小酥软软的,1066634989,25587625,,179,,76.0
阿帅派克,395089518,21733448,,178,,76.0
小霖QL,36047134,8324350,,175,,76.0
万拓普TOP,2072717192,23969425,90546.0,175,108.62308244947474,
绫濑光Official,6747203,3428783,102846.0,174,115.69863937340608,
桃星Tocci,690608704,23017349,139211.0,173,133.89349936387453,
库库_sama,5408366,5194110,,172,,76.0
丧妹有点跳,4548018,48499,,171,,76.0
魔狼咪莉娅,1838190318,24643640,136350.0,171,130.57695661655475,
烧什么杯,1072466146,24952218,,170,,76.0
佐仓•M•沙耶加,72960,18060,106054.0,170,113.64601314329514,
岱川Doris,1643484295,22900071,122078.0,170,122.56714039757935,
托尔赛斯Taurus,487402608,26336970,47459.0,170,62.66720052549829,
真夜白音shirone,1434027068,24640652,,169,,76.0
机智大灯灯,16510117,623698,30517.0,169,33.670884288918046,
你的影月月,431073645,21414905,,169,,76.0
性巴莎拉,2059591,271628,,168,,76.0
这是你的氟西汀,389528163,22954659,,167,,76.0
小眠yo,610360774,25017682,,167,,76.0
音酱呀丶,447525119,23931203,,167,,76.0
shoto_official,1601895109,25245573,1336093.0,167,271.27349930694436,
kk不是对儿k宝可梦,14112799,2704487,,166,,76.0
续杯牛奶ii,16509116,3256471,,166,,76.0
唐九夏还想再躺一下,1219196749,23303212,217946.0,165,154.312965135755,
戒社,27492426,22188468,,165,,76.0
薇Steria,1112031857,22924075,44107.0,165,53.02329758843314,
-纯黑-,585267,1023,,165,,75.0
坂坂白,560647,2755958,,164,,76.0
那菈花酱ovo,2143972570,26078445,,164,,76.0
東雪蓮Official,1437582453,22816111,416629.0,164,194.3929198076246,
靡烟miya,1958703906,22894962,45697.0,164,54.268554712124,
帅比笙歌超可爱OvO,15641218,573893,144042.0,163,126.05633685107546,
不稳定发电机,12622108,6653352,245633.0,163,159.89504888855902,
dodo_Official,1855519979,23945626,177565.0,163,139.32163394417228,
小黑的人间观察记录,500508001,21784772,,163,,76.0
LGDPYL116,651731017,22439496,,162,,76.0
泪腺战士,374377,45104,,161,,76.0
寻找光玉的悠然_,488990560,25399659,,161,,76.0
千薰依,20106338,14957082,,160,,76.0
杜松子_Gin,471460273,22195814,277162.0,159,163.55146244182322,
米诺高分少女,1778026586,25512465,117220.0,159,108.99261388792866,
伊索尔Sol,1694610556,25971921,,158,,76.0
猫的奴,33546978,26331605,,158,,76.0
木糖纯Official,54191665,8643223,343657.0,157,175.18511853033567,
DNF手游小韩,434543178,24683206,,157,,76.0
甜药Jamren,106017013,13308358,,156,,75.0
七濑Unia,353361863,21514463,335621.0,156,172.684978175433,
萝莉一凡,31470014,617484,,155,,76.0
三年胖50斤,1763388412,23616707,,155,,76.0
花见汐梨Yuuri,4718291,1155608,31749.0,155,22.180086592100224,
古月酱cc,83677665,9048914,,154,,76.0
暴躁浩然_有趣的浩然,1763330808,24201387,,153,,76.0
露娜Luna_Official,1908273021,26297216,27233.0,153,10.452513289669923,
凛-阿格里亚斯,2650919,3525213,280274.0,153,158.2593566207737,
卡缇娅也不知道鸭,1011797664,24697117,89630.0,153,85.97843609987922,
-阿蕊娅Aria-,10850238,594461,,151,,76.0
绝不早到小吱吱,11616487,3495920,,151,,76.0
龙哥哥今天又鸽了,37804608,4283606,,151,,76.0
小柳梢z,2137985829,22889482,,150,,76.0
新月冰冰,3295,5275,907960.0,149,228.78178527772707,
友夏Uka,690608712,23550793,31631.0,149,15.944011847893421,
王筱沫沫丶,533996453,23762953,,148,,76.0
抖个姬灵,454984558,21555489,,148,,76.0
虚拟小萨,6415072,43241,311692.0,147,158.99546870236554,
小小约yoo,1359949418,23224539,333533.0,146,162.28931550392508,
旧城旧梦111,32256602,3266695,,146,,76.0
洋洋洋ouo,688014052,22537565,,146,,76.0
星弥Hoshimi,477342747,21672022,184669.0,145,123.80870780365865,
予绵绵,11449972,5224276,,145,,76.0
黑桐谷歌,43536,1029,,144,,76.0
希侑Kiyuu,1155425566,23805066,73552.0,144,64.44441800411698,
蛙吹Keroro,613345189,22344968,95116.0,144,80.74484712648893,
蕾尔娜Leona,473244363,22992234,793338.0,144,215.22589413258288,
恬豆发芽了,1660392980,23771189,55546.0,144,46.642894186397825,
韩小沐,642922,146088,,144,,75.0
是鹿Lu吖,1083985101,25632549,,143,,76.0
柊真华Official,13908542,22251977,60480.0,142,50.03831188810648,
沐霂是MUMU呀,1878154667,23771139,48756.0,142,36.376596802180984,
星月璃り,1114539017,22901614,,142,,76.0
一米八的坤儿,19738891,4350043,,142,,75.0
一只小仙若,16539048,394518,,142,,76.0
火龙果说电影,40665101,23585383,,142,,76.0
墨色长安,25199503,731109,,141,,76.0
汐尔Sier,498188835,25367871,,141,,76.0
莞儿睡不醒,1875044092,25512476,75092.0,141,62.758154091965594,
橙子miu,13089665,1223832,152650.0,141,107.73625008353577,
巫贼_ikataruto,425286,292397,67571.0,141,56.06722675230901,
病院坂Rei,1041474702,22953950,112658.0,141,88.47589824887223,
轴伊Joi_Channel,61639371,21484828,109083.0,140,85.4313991136238,
乌拉の帝国Official,610390,14893,137066.0,140,99.90901109593722,
天音Sora_Official,3461572502489809,26422901,106079.0,140,83.66095659864948,
绘竹-,181560596,8250220,,140,,76.0
清歌清歌-,60194879,10094495,,139,,76.0
街头艺人小高,11139681,14006390,,139,,76.0
尤格Yog,690608709,23550749,123193.0,139,92.14357615210224,
红晓音Akane,899804,411318,284730.0,139,145.2594070896538,
Yommyko,14272337,21263282,177395.0,139,115.26090597018049,
穆小泠Official,43272050,21646457,431780.0,138,170.65757172107863,
路希维德Wiede,2006452883,24778741,257632.0,138,137.9188268089215,
猫芒ベル_Official,487550002,21811136,184307.0,138,116.6843050925678,
困困别睡辣,1673535962,24565591,,138,,76.0
-立花花,13983848,10191084,,137,,76.0
弥希Miki,477317922,21672023,119754.0,137,88.34855777825248,
不要脸的狗子,287935100,22258533,,137,,76.0
莫熙呐,398655122,21713184,77394.0,136,59.67253165804834,
-默心-,230533837,5962524,,136,,76.0
桑桑TUT,491370290,26305680,,136,,76.0
云淡叔叔,39891817,21301005,,136,,76.0
